author,title,type,tag,sub-tag
Peter Thiel,"Zero to One: Notes on Startups, or How to Build the Future",non-fiction,business,startups
Phil Knight,Shoe Dog,non-fiction,biography,business
Philip K. Dick,Do Androids Dream of Electric Sheep?,fiction,,
Philip Roth,American Pastoral,fiction,,
Philip Tetlock; Dan Gardner,Superforecasting,non-fiction,thinking,
Primo Levi,"If This Is a Man, The Truce",non-fiction,history,20th century
Ray Bradbury,Fahrenheit 451,fiction,,
Rein Gold,Elfriede Jelinek,non-fiction,other,
Reza Aslan,Zealot: The Life and Times of Jesus of Nazareth,non-fiction,religion,history
Richard Dawkins,The Selfish Gene,non-fiction,science,biology
Richard Hammack,Book of Proof,non-fiction,mathematics,
Richard J. Evans,The Pursuit of Power: Europe 1815 - 1914,non-fiction,history,european
Richard J. Larsen,An Introduction to Mathematical Statistics and Its Applications,non-fiction,statistics,
Richard Leakey,The Origin of Humankind,non-fiction,science,
Richard Powers,The Overstory,fiction,,
"Richard Thaler, Cass Sunstein","Nudge: Improving Decisions About Health, Wealth, and Happiness",non-fiction,thinking,
Robert Axelrod,The Evolution of Cooperation,non-fiction,sociology,
Robert B. Zoellick,America in the World,non-fiction,international,
Robert Heilbroner,The Worldly Philosophers,non-fiction,economics,history
Robert M. Sapolsky,Behave,non-fiction,science,cognitive
Robert Middlekauff,The Glorious Cause,non-fiction,history,american
